하천명,하천 기점,하천 종점,하천연장(km),연장(km) 수립,연장(km) 미수립,유로연장(km),유역면적(㎢),데이터기준일자
삼수천,제주특별자치도 제주시 용강동 74,제주특별자치도 제주시 삼양동 2445,13,7.66,5.34,14,17.76,2018-05-09
대룡소천,제주특별자치도 제주시 용강동 120,제주특별자치도 제주시 삼수천합류점,7.5,2.78,4.72,9,6.51,2018-05-09
화북천,제주특별자치도 제주시 월평동 74,제주특별자치도 제주시 화북동 4410,12.92,12.92,-,20.06,50.8,2018-05-09
방천,제주특별자치도 제주시 영평동 2235,제주특별자치도 제주시 화북천합류점,10,8.53,1.47,17.07,22.67,2018-05-09
조천,제주특별자치도 제주시 아라동 378,제주특별자치도 제주시 방천합류점,7,4.2,2.8,14.11,9.48,2018-05-09
부록천,제주특별자치도 제주시 월평동 60,제주특별자치도 제주시 화북천합류점,11.19,11.19,-,12.32,9.44,2018-05-09
산지천,제주특별자치도 제주시 아라동 398,제주특별자치도 제주시 건입동 984,11.98,11.7,0.28,13.47,11.69,2018-05-09
병문천,제주특별자치도 제주시 오라동 335,제주특별자치도 제주시 용담동 421,13.09,13.09,-,19.48,22.68,2018-05-09
독사천,제주특별자치도 제주시 오라동 518,제주특별자치도 제주시 병문천합류점,8,7.55,0.45,8,5.9,2018-05-09
한천,제주특별자치도 제주시 오라동 378,제주특별자치도 제주시 용담동 433,11.82,11.82,-,20.17,36.69,2018-05-09
토천,제주특별자치도 제주시 오라동 3709,제주특별자치도 제주시 한천합류점,7.96,7.96,-,10.03,6.8,2018-05-09
흘천,제주특별자치도 제주시 오라동 585,제주특별자치도 제주시 도두동 714,6.77,6.77,-,8.86,10.02,2018-05-09
이호천,제주특별자치도 제주시 연동 1119,제주특별자치도 제주시 이호동 1665-6,6,5.78,0.22,8.11,5.02,2018-05-09
원장천,제주특별자치도 제주시 노형동 3404,제주특별자치도 제주시 이호동 1082,6.36,6.36,-,7.83,3.54,2018-05-09
도근천,제주특별자치도 제주시 해안동 35,제주특별자치도 제주시 외도동 302-1,12,11.79,0.21,22.16,75.35,2018-05-09
어시천,제주특별자치도 제주시 해안동 1397,제주특별자치도 제주시 도근천합류점,10.42,10.42,-,13.81,10.27,2018-05-09
광령천,제주특별자치도 제주시 광령리 475,제주특별자치도 제주시 도근천합류점,18.3,10.04,8.26,22.06,41.8,2018-05-09
고성천,제주특별자치도 제주시 고성리 982,제주특별자치도 제주시 하귀리 1578,12,9.63,2.37,15.03,12.76,2018-05-09
소왕천,제주특별자치도 제주시 유수암1056-2,제주특별자치도 제주시 하귀리 1816,12,10.12,1.88,17.1,10.26,2018-05-09
수산천,제주특별자치도 제주시 유수암1563,제주특별자치도 제주시 구엄리 505,13,10.93,2.07,14.13,20.11,2018-05-09
금성천,제주특별자치도 제주시 봉성리 175,제주특별자치도 제주시 금성리 574,16.5,12.81,3.69,20.14,70.47,2018-05-09
어음천,제주특별자치도 제주시 납읍리 640,제주특별자치도 제주시 금성천합류점,15,11.15,3.85,17.97,22.15,2018-05-09
한림천,제주특별자치도 제주시 상대리 2875-2,제주특별자치도 제주시 한림리 1303,6.55,6.55,-,12.28,27.14,2018-05-09
귀덕천,제주특별자치도 제주시 봉성리  846,제주특별자치도 제주시 한림천합류점,6.05,6.05,-,8.92,11.68,2018-05-09
옹포천,제주특별자치도 제주시 명월리 441-1,제주특별자치도 제주시 옹포리 407,7.89,7.89,-,15.56,23.29,2018-05-09
문수천,제주특별자치도 제주시 동명리 70,제주특별자치도 제주시 옹포천합류점,2.99,2.99,-,5.62,2.95,2018-05-09
천미천,제주특별자치도 제주시 교래리 ,제주특별자치도 제주시 하천리 68-2,11.97,11.97,-,40.56,128.36,2018-05-09
