시설물명,주소,교량형식,교량연장,차로수,경간수,최대경간수,,
대왕교,서울특별시 강남구 세곡동 2-5,PC박스거더교(PCB),150,3,5,30,,
영동4교,서울특별시 강남구 대치동 501,RC슬래브교(RCS),150,4,5,40,,
마평교,강원도 평창군 진부면 마평리 ,강박스거더교(STB),280,2,5,60,,
송정2교,강원도 평창군 진부면 송정1리 ,강박스거더교(STB),220,2,4,60,,
주수교,강원도 강릉시 옥계면 주수리,강박스거더교(STB),205,2,5,53,,
옥녀1교,강원도 인제군 북면 한계리,강박스거더교(STB),110,2,2,55,,
주수교(상행),강원도 강릉시 옥계면 동해대로 364,SB arch 거더교,250.3,3,5,50,,
신남1교(상),강원도 삼척시 원덕읍 임원리 ,강박스거더교(STB),220,2,4,55,,
연곡교,강원도 강릉시 연곡면 방내리 ,PC빔교(PC I),300,4,10,30,,
북천1교(상),강원도 고성군 거진읍 대대리 ,강박스거더교(STB),300,2,6,50,,
고원통2교(하),강원도 인제군 북면 한계리 ,강박스거더교(STB),550,2,12,55,,
신리2교(확),강원도 강릉시 주문진읍 교항리 ,강박스거더교(STB),120,4,3,45,,
송죽교(하),강원도 고성군 거진읍 송죽리 ,IPC GIRDER,120,2,3,40,,
용대2교,강원도 인제군 북면 용대리 일원,강상형교,100,2,2,50,,
용촌육교,강원도 고성군 토성면 용촌리,강박스거더교(STB),130,4,3,50,,
도직교(하행),강원도 강릉시 옥계면 도직길 13,PUS GIRDER교,180,2,4,56,,
도직교(상행),강원도 강릉시 옥계면 도직길 13,PUS GIRDER교,170,2,4,51.5,,
수항교,강원도 평창군 진부면 막동리 ,강박스거더교(STB),110,2,2,55,,
고원통1교,강원도 인제군 북면 한계리 ,강박스거더교(STB),265,4,5,55,,
고원통2교(상),강원도 인제군 북면 한계리 ,강박스거더교(STB),320,2,6,55,,
남설악교,강원도 양양군 서면 가라피리,강박스거더교(STB),400,2,8,60,,
신남1교(하),강원도 삼척시 원덕읍 임원리 ,강박스거더교(STB),220,2,4,55,,
장평3교,강원도 평창군 용평면 용전리 ,PUS합성거더교,310,2,6,55,,
쌍동교,강원도 동해시 쇄운동 630-12,강박스거더교(STB),230,4,5,50,,
북평과선교,강원도 동해시 나안동 118-1,강박스거더교(STB),480,4,10,60,,
전천과선교(상),강원도 동해시 쇄운동 산 70-6,강박스거더교(STB),110,4,2,60,,
신남3교(상),강원도 삼척시 원덕읍 갈남리 ,강박스거더교(STB),120,2,3,40,,
신남3교(하),강원도 삼척시 원덕읍 갈남리 ,강박스거더교(STB),120,2,3,40,,
용화1교(상),강원도 삼척시 근덕면 용화리 ,PC빔교(PC I),120,2,4,30,,
